TermBits,InChannels,ClassCount,WeightBits,DSPCount,LUT4,FF
1,28,12,2,0,3907,91
1,28,13,2,0,4241,91
1,28,14,2,0,4555,91
1,28,15,2,0,4883,91
1,28,16,2,0,5198,91
1,28,17,2,0,5525,91
1,29,1,2,0,404,94
1,29,2,2,0,754,94
1,29,3,2,0,1105,94
1,29,4,2,0,1446,94
1,29,5,2,0,1798,94
1,29,6,2,0,2136,94
1,29,7,2,0,2490,94
1,29,8,2,0,2831,94
1,29,9,2,0,3183,94
1,29,10,2,0,3522,94
1,29,11,2,0,3870,94
1,29,12,2,0,4209,94
1,29,13,2,0,4568,94
1,29,14,2,0,4907,94
1,29,15,2,0,5260,94
1,29,16,2,0,5600,94
1,30,1,2,0,415,97
1,30,2,2,0,774,97
1,30,3,2,0,1134,97
1,30,4,2,0,1484,97
1,30,5,2,0,1845,97
1,30,6,2,0,2192,97
1,30,7,2,0,2555,97
1,30,8,2,0,2905,97
1,30,9,2,0,3266,97
1,30,10,2,0,3614,97
1,30,11,2,0,3971,97
1,30,12,2,0,4319,97
1,30,13,2,0,4687,97
1,30,14,2,0,5035,97
1,30,15,2,0,5397,97
1,31,1,2,0,420,100
1,31,2,2,0,782,100
1,31,3,2,0,1145,100
1,31,4,2,0,1498,100
1,31,5,2,0,1862,100
1,31,6,2,0,2212,100
1,31,7,2,0,2578,100
1,31,8,2,0,2931,100
1,31,9,2,0,3295,100
1,31,10,2,0,3646,100
1,31,11,2,0,4006,100
1,31,12,2,0,4357,100
1,31,13,2,0,4728,100
1,31,14,2,0,5079,100
1,31,15,2,0,5444,100
1,32,1,2,0,434,103
1,32,2,2,0,808,103
1,32,3,2,0,1183,103
1,32,4,2,0,1548,103
1,32,5,2,0,1924,103
1,32,6,2,0,2286,103
1,32,7,2,0,2664,103
1,32,8,2,0,3029,103
1,32,9,2,0,3405,103
1,32,10,2,0,3768,103
1,32,11,2,0,4140,103
1,32,12,2,0,4503,103
1,32,13,2,0,4886,103
1,32,14,2,0,5249,103
1,32,15,2,0,5626,103
1,1,1,3,0,26,10
1,1,2,3,0,54,10
1,1,3,3,0,83,10
1,1,4,3,0,102,10
1,1,5,3,0,132,10
1,1,6,3,0,148,10
1,1,7,3,0,180,10
1,1,8,3,0,199,10
1,1,9,3,0,229,10
1,1,10,3,0,246,10
1,1,11,3,0,272,10
1,1,12,3,0,289,10
1,1,13,3,0,326,10
1,1,14,3,0,343,10
1,1,15,3,0,374,10
1,1,16,3,0,392,10
1,1,17,3,0,422,10
1,1,18,3,0,438,10
1,1,19,3,0,465,10
1,1,20,3,0,482,10
1,1,21,3,0,508,10
1,1,22,3,0,526,10
1,1,23,3,0,551,10
1,1,24,3,0,569,10
1,1,25,3,0,614,10
1,1,26,3,0,630,10
1,1,27,3,0,657,10
1,1,28,3,0,674,10
1,1,29,3,0,708,10
1,1,30,3,0,725,10
1,1,31,3,0,755,10
1,1,32,3,0,773,10
1,2,1,3,0,40,13
1,2,2,3,0,80,13
1,2,3,3,0,121,13
1,2,4,3,0,152,13
1,2,5,3,0,194,13
1,2,6,3,0,222,13
1,2,7,3,0,266,13
1,2,8,3,0,297,13
1,2,9,3,0,339,13
1,2,10,3,0,368,13
1,2,11,3,0,406,13
1,2,12,3,0,435,13
1,2,13,3,0,484,13
1,2,14,3,0,513,13
1,2,15,3,0,556,13
1,2,16,3,0,586,13
1,2,17,3,0,628,13
1,2,18,3,0,656,13
1,2,19,3,0,695,13
1,2,20,3,0,724,13
1,2,21,3,0,762,13
1,2,22,3,0,792,13
1,2,23,3,0,829,13
1,2,24,3,0,859,13
1,2,25,3,0,916,13
1,2,26,3,0,944,13
1,2,27,3,0,983,13
1,2,28,3,0,1012,13
1,2,29,3,0,1058,13
1,2,30,3,0,1087,13
1,2,31,3,0,1129,13
1,2,32,3,0,1159,13
1,3,1,3,0,55,16
1,3,2,3,0,108,16
1,3,3,3,0,162,16
1,3,4,3,0,206,16
1,3,5,3,0,261,16
1,3,6,3,0,302,16
1,3,7,3,0,359,16
1,3,8,3,0,403,16
1,3,9,3,0,458,16
1,3,10,3,0,500,16
1,3,11,3,0,551,16
1,3,12,3,0,593,16
1,3,13,3,0,655,16
1,3,14,3,0,697,16
1,3,15,3,0,753,16
1,3,16,3,0,796,16
1,3,17,3,0,851,16
1,3,18,3,0,892,16
